"Gemeentecode","GemeentecodeGM","Gemeentenaam","Provinciecode","ProvinciecodePV","Provincienaam"
1680,"GM1680","Aa en Hunze",22,"PV22","Drenthe"
358,"GM0358","Aalsmeer",27,"PV27","Noord-Holland"
197,"GM0197","Aalten",25,"PV25","Gelderland"
59,"GM0059","Achtkarspelen",21,"PV21","Frysl�n"
482,"GM0482","Alblasserdam",28,"PV28","Zuid-Holland"
613,"GM0613","Albrandswaard",28,"PV28","Zuid-Holland"
361,"GM0361","Alkmaar",27,"PV27","Noord-Holland"
141,"GM0141","Almelo",23,"PV23","Overijssel"
34,"GM0034","Almere",24,"PV24","Flevoland"
484,"GM0484","Alphen aan den Rijn",28,"PV28","Zuid-Holland"
1723,"GM1723","Alphen-Chaam",30,"PV30","Noord-Brabant"
1959,"GM1959","Altena",30,"PV30","Noord-Brabant"
60,"GM0060","Ameland",21,"PV21","Frysl�n"
307,"GM0307","Amersfoort",26,"PV26","Utrecht"
362,"GM0362","Amstelveen",27,"PV27","Noord-Holland"
363,"GM0363","Amsterdam",27,"PV27","Noord-Holland"
200,"GM0200","Apeldoorn",25,"PV25","Gelderland"
202,"GM0202","Arnhem",25,"PV25","Gelderland"
106,"GM0106","Assen",22,"PV22","Drenthe"
743,"GM0743","Asten",30,"PV30","Noord-Brabant"
744,"GM0744","Baarle-Nassau",30,"PV30","Noord-Brabant"
308,"GM0308","Baarn",26,"PV26","Utrecht"
489,"GM0489","Barendrecht",28,"PV28","Zuid-Holland"
203,"GM0203","Barneveld",25,"PV25","Gelderland"
888,"GM0888","Beek",31,"PV31","Limburg"
1954,"GM1954","Beekdaelen",31,"PV31","Limburg"
889,"GM0889","Beesel",31,"PV31","Limburg"
1945,"GM1945","Berg en Dal",25,"PV25","Gelderland"
1724,"GM1724","Bergeijk",30,"PV30","Noord-Brabant"
893,"GM0893","Bergen (L.)",31,"PV31","Limburg"
373,"GM0373","Bergen (NH.)",27,"PV27","Noord-Holland"
748,"GM0748","Bergen op Zoom",30,"PV30","Noord-Brabant"
1859,"GM1859","Berkelland",25,"PV25","Gelderland"
1721,"GM1721","Bernheze",30,"PV30","Noord-Brabant"
753,"GM0753","Best",30,"PV30","Noord-Brabant"
209,"GM0209","Beuningen",25,"PV25","Gelderland"
375,"GM0375","Beverwijk",27,"PV27","Noord-Holland"
310,"GM0310","De Bilt",26,"PV26","Utrecht"
1728,"GM1728","Bladel",30,"PV30","Noord-Brabant"
376,"GM0376","Blaricum",27,"PV27","Noord-Holland"
377,"GM0377","Bloemendaal",27,"PV27","Noord-Holland"
1901,"GM1901","Bodegraven-Reeuwijk",28,"PV28","Zuid-Holland"
755,"GM0755","Boekel",30,"PV30","Noord-Brabant"
1681,"GM1681","Borger-Odoorn",22,"PV22","Drenthe"
147,"GM0147","Borne",23,"PV23","Overijssel"
654,"GM0654","Borsele",29,"PV29","Zeeland"
757,"GM0757","Boxtel",30,"PV30","Noord-Brabant"
758,"GM0758","Breda",30,"PV30","Noord-Brabant"
501,"GM0501","Brielle",28,"PV28","Zuid-Holland"
